Nb_Locations : 141
 
from,to,distance,speed,duration 
2,10,29.983,1.27407,23.5333,
2,11,11.988,0.908182,13.2,
2,12,1.47,0.400909,3.66667,
2,13,6.223,0.520028,11.9667,
2,14,6.05,0.525326,11.5167,
2,15,4.506,0.538566,8.36667,
2,16,52.683,1.33206,39.55,
2,17,11.157,0.824409,13.5333,
2,18,13,0.883352,14.7167,
2,19,5.116,0.4943,10.35,
2,20,11.989,0.918697,13.05,
2,21,5.31,0.54,9.83333,
2,22,39.985,1.33209,30.0167,
2,23,7.42,0.597584,12.4167,
2,24,5.147,0.528801,9.73333,
2,25,22.801,0.968195,23.55,
2,26,10.228,0.8559,11.95,
2,27,5.141,0.551807,9.31667,
2,28,13.405,0.835202,16.05,
2,29,6.915,0.547361,12.6333,
2,30,39.621,1.04038,38.0833,
2,31,7.714,0.551657,13.9833,
2,32,12.214,0.937136,13.0333,
2,33,12.126,0.91517,13.25,
2,34,2.922,0.505245,5.78333,
2,35,8.763,0.610662,14.35,
2,36,6.657,0.551685,12.0667,
2,37,4.302,0.514183,8.36667,
2,38,11.896,0.936693,12.7,
2,39,3.037,0.460152,6.6,
2,40,5.744,0.5385,10.6667,
2,41,1.512,0.397895,3.8,
2,42,13.815,0.855418,16.15,
2,43,13.815,1.01085,13.6667,
2,44,17.987,1.03572,17.3667,
2,45,8.77,0.61472,14.2667,
2,46,1.844,0.517009,3.56667,
2,47,12.879,0.868247,14.8333,
2,48,12.349,0.637642,19.3667,
2,49,16.351,0.83,19.7,
2,50,15.203,0.927012,16.4,
2,51,8.89,0.648117,13.7167,
2,52,14.338,0.996848,14.3833,
2,53,2.177,0.483778,4.5,
2,54,28.019,1.062,26.3833,
2,55,10.691,0.811975,13.1667,
2,56,5.145,0.520573,9.88333,
2,57,7.057,0.776917,9.08333,
2,58,13.308,0.884252,15.05,
2,59,8.851,0.609014,14.5333,
2,60,7.995,0.565684,14.1333,
2,61,1.038,0.36,2.88333,
2,62,9.87,0.794899,12.4167,
2,63,12.823,0.877286,14.6167,
2,64,2.484,0.438353,5.66667,
2,65,15.296,0.934582,16.3667,
2,66,8.674,0.624029,13.9,
2,67,16.311,0.913782,17.85,
2,68,2.328,0.50426,4.61667,
2,69,11.698,0.638073,18.3333,
2,70,1.719,0.402891,4.26667,
2,71,8.029,0.553088,14.5167,
2,72,16.307,0.90011,18.1167,
2,73,14.523,0.990205,14.6667,
2,74,12.5,0.823271,15.1833,
2,75,18.583,1.01546,18.3,
2,76,1.367,0.416345,3.28333,
2,77,4.77,0.535955,8.9,
2,78,12.018,0.831696,14.45,
2,79,10.876,0.783385,13.8833,
2,80,8.585,0.559283,15.35,
2,81,4.045,0.516383,7.83333,
2,82,11.817,0.843068,14.0167,
2,83,3.103,0.460842,6.73333,
2,84,5.213,0.518706,10.05,
2,85,4.882,0.546493,8.93333,
2,86,21.893,1.06019,20.65,
2,87,17.111,1.0606,16.1333,
2,88,12.776,0.871091,14.6667,
2,89,9.597,0.588172,16.3167,
2,90,1.91,0.426022,4.48333,
2,91,19.41,0.874324,22.2,
2,92,0.522,0.364186,1.43333,
2,93,8.391,0.564417,14.8667,
2,94,8.85,0.892437,9.91667,
2,95,12.721,0.860496,14.7833,
2,96,1.995,0.396358,5.03333,
2,97,7.45,0.571611,13.0333,
2,98,12.007,0.636976,18.85,
2,99,5.322,0.672253,7.91667,
2,100,8.276,0.543282,15.2333,
2,101,15.033,0.951456,15.8,
2,102,3.824,0.541132,7.06667,
2,103,5.231,0.55257,9.46667,
2,104,5.387,0.542315,9.93333,
2,105,6.267,0.529606,11.8333,
2,106,5.384,0.532191,10.1167,
2,107,1.3,0.364486,3.56667,
2,108,10.529,0.614533,17.1333,
2,109,30.719,1.24452,24.6833,
2,110,31.333,1.34862,23.2333,
2,111,25.441,1.16791,21.7833,
2,112,6.648,0.560225,11.8667,
2,113,11.709,0.819767,14.2833,
2,114,11.513,0.821379,14.0167,
2,115,1.462,0.417714,3.5,
2,116,5.961,0.528301,11.2833,
2,117,18.434,0.983147,18.75,
2,118,6.89,0.807422,8.53333,
2,119,27.342,1.15856,23.6,
2,120,11.813,0.872882,13.5333,
2,121,5.278,0.521713,10.1167,
2,122,8.575,0.637546,13.45,
2,123,30.258,1.18581,25.5167,
2,124,25.254,1.1931,21.1667,
2,125,4.637,0.50956,9.1,
2,126,30.284,1.28141,23.6333,
2,127,11.886,0.63846,18.6167,
2,128,3.128,0.530169,5.9,
2,129,5.515,0.54604,10.1,
2,130,13.686,0.811423,16.8667,
2,131,13.89,0.998084,13.9167,
2,132,6.776,0.579971,11.6833,
2,133,4.347,0.527976,8.23333,
2,134,4.711,0.50117,9.4,
2,135,13.097,0.888937,14.7333,
2,136,5.425,0.555461,9.76667,
2,137,26.277,1.14414,22.9667,
2,138,17.868,0.985368,18.1333,
2,139,12.376,0.855484,14.4667,
2,140,17.812,0.999738,17.8167,
3,0,9.315,0.676634,13.7667,
3,1,10.336,0.878414,11.7667,
3,2,9.921,0.839577,11.8167,
3,3,0,0,0,
3,4,21.933,1.25811,17.4333,
3,5,2.603,0.407781,6.38333,
3,6,6.217,0.653275,9.51667,
3,7,6.435,0.5737,11.2167,
3,8,8.652,0.872471,9.91667,
3,9,4.242,0.549719,7.71667,
3,10,24.154,1.19772,20.1667,
3,11,5.52,0.670445,8.23333,
3,12,9.38,0.884906,10.6,
3,13,4.474,0.535808,8.35,
3,14,5.252,0.5314,9.88333,
3,15,8.356,0.944181,8.85,
3,16,46.853,1.29488,36.1833,
3,17,1.163,0.361554,3.21667,
3,18,3.018,0.465501,6.48333,
3,19,5.51,0.524762,10.5,
3,20,3.331,0.569402,5.85,
3,21,4.952,0.541202,9.15,
3,22,33.517,1.338,25.05,
3,23,2.827,0.477803,5.91667,
3,24,5.83,0.53242,10.95,
3,25,14.55,0.860099,16.9167,
3,26,0.234,0.143265,1.63333,
3,27,4.783,0.555087,8.61667,
3,28,6.663,0.594027,11.2167,
3,29,4.263,0.541907,7.86667,
3,30,31.37,0.997456,31.45,
3,31,3.793,0.480127,7.9,
3,32,4.608,0.542118,8.5,
3,33,4.833,0.54,8.95,
3,34,9.618,0.9353,10.2833,
3,35,3.801,0.435229,8.73333,
3,36,3.317,0.532139,6.23333,
3,37,8.152,0.92113,8.85,
3,38,5.428,0.701897,7.73333,
3,39,6.228,0.55115,11.3,
3,40,5.441,0.563834,9.65,
3,41,9.557,0.883544,10.8167,
3,42,3.856,0.484017,7.96667,
3,43,7.347,0.844483,8.7,
3,44,11.519,0.930202,12.3833,
3,45,2.595,0.452616,5.73333,
3,46,6.388,0.576361,11.0833,
3,47,2.808,0.512097,5.48333,
3,48,12.193,0.911059,13.3833,
3,49,10.996,0.816535,13.4667,
3,50,8.735,0.765109,11.4167,
3,51,9.385,0.7508,12.5,
3,52,7.87,0.837234,9.4,
3,53,9.871,0.946102,10.4333,
3,54,21.551,1.00706,21.4,
3,55,0.697,0.280671,2.48333,
3,56,5.515,0.511437,10.7833,
3,57,4.117,0.586746,7.01667,
3,58,2.645,0.510289,5.18333,
3,59,3.767,0.510203,7.38333,
3,60,4.074,0.506087,8.05,
3,61,9.562,0.895039,10.6833,
3,62,0.801,0.343286,2.33333,
3,63,3.456,0.489057,7.06667,
3,64,9.515,0.953088,9.98333,
3,65,8.828,0.77552,11.3833,
3,66,3.818,0.514787,7.41667,
3,67,9.844,0.765078,12.8667,
3,68,5.913,0.589336,10.0333,
3,69,9.971,0.790304,12.6167,
3,70,9.629,0.859732,11.2,
3,71,4.137,0.501455,8.25,
3,72,6.563,0.576545,11.3833,
3,73,8.055,0.827568,9.73333,
3,74,2.569,0.432978,5.93333,
3,75,6.953,0.578613,12.0167,
3,76,9.061,0.98311,9.21667,
3,77,8.62,0.91865,9.38333,
3,78,3.154,0.491532,6.41667,
3,79,1.302,0.351892,3.7,
3,80,4.694,0.516771,9.08333,
3,81,7.896,0.94752,8.33333,
3,82,2.742,0.492575,5.56667,
3,83,6.295,0.549782,11.45,
3,84,5.769,0.518951,11.1167,
3,85,8.831,0.87148,10.1333,
3,86,12.45,0.856651,14.5333,
3,87,10.643,0.953104,11.1667,
3,88,6.308,0.651429,9.68333,
3,89,7.129,0.660093,10.8,
3,90,9.968,0.950843,10.4833,
3,91,14.054,0.880209,15.9667,
3,92,10.087,0.865837,11.65,
3,93,4.47,0.509886,8.76667,
3,94,2.118,0.518694,4.08333,
3,95,6.441,0.62534,10.3,
3,96,10.04,0.899104,11.1667,
3,97,3.559,0.525961,6.76667,
3,98,10.279,0.783659,13.1167,
3,99,14.187,1.13194,12.5333,
3,100,4.385,0.489033,8.96667,
3,101,8.565,0.791834,10.8167,
3,102,7.674,1.01419,7.56667,
3,103,4.873,0.555856,8.76667,
3,104,9.058,0.847863,10.6833,
3,105,2.489,0.477125,5.21667,
3,106,5.801,0.565951,10.25,
3,107,7.023,0.579615,12.1167,
3,108,8.017,0.646532,12.4,
3,109,21.849,1.03224,21.1667,
3,110,24.865,1.36122,18.2667,
3,111,18.973,1.12823,16.8167,
3,112,2.596,0.485234,5.35,
3,113,1.715,0.432353,3.96667,
3,114,1.519,0.412398,3.68333,
3,115,9.985,0.883628,11.3,
3,116,4.866,0.525108,9.26667,
3,117,11.966,0.869201,13.7667,
3,118,4.074,0.677119,6.01667,
3,119,20.874,1.12125,18.6167,
3,120,5.533,0.611381,9.05,
3,121,5.388,0.519743,10.3667,
3,122,2.305,0.501087,4.6,
3,123,23.79,1.1586,20.5333,
3,124,18.786,1.16082,16.1833,
3,125,4.191,0.679622,6.16667,
3,126,23.816,1.27586,18.6667,
3,127,10.158,0.788461,12.8833,
3,128,8.86,0.908718,9.75,
3,129,5.51,0.531511,10.3667,
3,130,5.101,0.536947,9.5,
3,131,7.422,0.830821,8.93333,
3,132,2.884,0.532431,5.41667,
3,133,8.198,0.940497,8.71667,
3,134,4.676,0.646452,7.23333,
3,135,1.749,0.384396,4.55,
3,136,5.419,0.539204,10.05,
3,137,19.809,1.10152,17.9833,
3,138,11.4,0.865823,13.1667,
3,139,4.125,0.526596,7.83333,
3,140,11.344,0.882802,12.85,
4,0,28.515,1.16705,24.4333,
4,1,19.382,1.02011,19,
4,2,19.346,1.01554,19.05,
4,3,23.09,1.21313,19.0333,
4,4,0,0,0,
4,5,25.346,1.2726,19.9167,
4,6,26.712,1.3137,20.3333,
4,7,17.379,1.13836,15.2667,
4,8,16.734,1.1594,14.4333,
4,9,19.257,1.21495,15.85,
4,10,44.199,1.47988,29.8667,
4,11,24.978,1.26685,19.7167,
4,12,20.359,0.978798,20.8,
4,13,18.156,1.0701,16.9667,
4,14,17.488,1.07288,16.3,
4,15,16.438,1.22978,13.3667,
4,16,66.898,1.458,45.8833,
4,17,24.147,1.20534,20.0333,
4,18,25.99,1.22498,21.2167,
4,19,17.049,1.11068,15.35,
4,20,24.978,1.27765,19.55,
4,21,19.77,1.16523,16.9667,
4,22,52.974,1.45002,36.5333,
4,23,21.753,1.0165,21.4,
4,24,17.08,1.15928,14.7333,
4,25,37.017,1.23872,29.8833,
4,26,23.218,1.25729,18.4667,
4,27,19.601,1.19276,16.4333,
4,28,27.621,1.234,22.3833,
4,29,18.848,1.06888,17.6333,
4,30,53.837,1.21209,44.4167,
4,31,23.515,1.16123,20.25,
4,32,25.204,1.29031,19.5333,
4,33,25.115,1.27165,19.75,
4,34,18.355,1.12723,16.2833,
4,35,23.096,0.989122,23.35,
4,36,23.039,1.23977,18.5833,
4,37,16.234,1.21451,13.3667,
4,38,24.885,1.29497,19.2167,
4,39,18.782,1.15819,16.2167,
4,40,17.677,1.12832,15.6667,
4,41,18.294,1.08893,16.8,
4,42,26.805,1.18257,22.6667,
4,43,26.805,1.32808,20.1833,
4,44,30.977,1.29792,23.8667,
4,45,25.579,1.13349,22.5667,
4,46,18.942,1.18511,15.9833,
4,47,26.355,1.22297,21.55,
4,48,24.282,0.996525,24.3667,
4,49,33.416,1.26177,26.4833,
4,50,28.193,1.23114,22.9,
4,51,31.853,1.25653,25.35,
4,52,27.327,1.30856,20.8833,
4,53,25.382,1.27762,19.8667,
4,54,41.008,1.24708,32.8833,
4,55,23.681,1.20412,19.6667,
4,56,17.078,1.14746,14.8833,
4,57,19.346,1.12368,17.2167,
4,58,26.297,1.22028,21.55,
4,59,26.802,1.30318,20.5667,
4,60,23.796,1.16742,20.3833,
4,61,20.816,1.09079,19.0833,
4,62,22.859,1.20841,18.9167,
4,63,25.812,1.22235,21.1167,
4,64,18.252,1.14194,15.9833,
4,65,28.286,1.237,22.8667,
4,66,23.007,1.00467,22.9,
4,67,29.301,1.20333,24.35,
4,68,18.466,1.23656,14.9333,
4,69,23.631,1.01276,23.3333,
4,70,20.439,0.971743,21.0333,
4,71,19.396,0.987074,19.65,
4,72,29.296,1.19009,24.6167,
4,73,27.513,1.29778,21.2,
4,74,26.716,1.2426,21.5,
4,75,31.572,1.27306,24.8,
4,76,24.572,1.31636,18.6667,
4,77,16.703,1.20165,13.9,
4,78,26.233,1.26221,20.7833,
4,79,23.866,1.1699,20.4,
4,80,19.952,0.97406,20.4833,
4,81,15.978,1.24504,12.8333,
4,82,26.033,1.27926,20.35,
4,83,18.848,1.15278,16.35,
4,84,17.146,1.13927,15.05,
4,85,16.913,1.15579,14.6333,
4,86,36.109,1.33902,26.9667,
4,87,30.101,1.32994,22.6333,
4,88,25.765,1.21724,21.1667,
4,89,21.53,1.01001,21.3167,
4,90,18.705,1.13593,16.4667,
4,91,36.474,1.25772,29,
4,92,18.824,1.06752,17.6333,
4,93,25.209,1.22971,20.5,
4,94,21.839,1.32895,16.4333,
4,95,26.936,1.27558,21.1167,
4,96,20.494,0.957664,21.4,
4,97,23.28,1.21885,19.1,
4,98,23.94,1.00377,23.85,
4,99,28.916,1.30252,22.2,
4,100,20.587,0.96956,21.2333,
4,101,28.022,1.25659,22.3,
4,102,15.756,1.30575,12.0667,
4,103,18.247,1.09922,16.6,
4,104,17.14,1.12763,15.2,
4,105,22.21,1.26553,17.55,
4,106,17.316,1.14549,15.1167,
4,107,19.577,1.15046,17.0167,
4,108,22.461,1.0148,22.1333,
4,109,44.934,1.4487,31.0167,
4,110,44.323,1.48985,29.75,
4,111,38.43,1.35795,28.3,
4,112,23.87,1.16534,20.4833,
4,113,24.699,1.18745,20.8,
4,114,24.503,1.1943,20.5167,
4,115,20.564,1.089,18.8833,
4,116,17.894,1.09892,16.2833,
4,117,31.424,1.24451,25.25,
4,118,19.41,1.12197,17.3,
4,119,40.332,1.33993,30.1,
4,120,26.029,1.31018,19.8667,
4,121,17.211,1.13854,15.1167,
4,122,25.289,1.18081,21.4167,
4,123,43.248,1.3508,32.0167,
4,124,38.244,1.38231,27.6667,
4,125,19.097,1.1752,16.25,
4,126,43.274,1.43608,30.1333,
4,127,23.819,1.00857,23.6167,
4,128,17.597,1.11845,15.7333,
4,129,22.044,1.03493,21.3,
4,130,27.902,1.20267,23.2,
4,131,26.879,1.31652,20.4167,
4,132,22.606,1.27238,17.7667,
4,133,16.28,1.23023,13.2333,
4,134,19.171,1.15837,16.55,
4,135,26.086,1.22758,21.25,
4,136,21.954,1.04709,20.9667,
4,137,39.266,1.33256,29.4667,
4,138,30.857,1.25181,24.65,
4,139,26.592,1.27949,20.7833,
4,140,30.801,1.26579,24.3333,
5,0,11.733,0.728758,16.1,
5,1,12.605,0.945375,13.3333,
5,2,12.191,0.910909,13.3833,
5,3,2.603,0.401491,6.48333,
5,4,24.203,1.27384,19,
5,5,0,0,0,
5,6,4.526,0.622844,7.26667,
5,7,8.505,0.711715,11.95,
5,8,10.921,0.95103,11.4833,
5,9,7.261,0.784973,9.25,
5,10,20.06,0.991433,20.2333,
5,11,3.449,0.512228,6.73333,
5,12,11.649,0.957452,12.1667,
5,13,6.91,0.577437,11.9667,
5,14,7.522,0.588422,12.7833,
5,15,10.626,1.0201,10.4167,
5,16,46.804,1.28996,36.2833,
5,17,3.3,0.516971,6.38333,
5,18,1.339,0.4017,3.33333,
5,19,11.236,0.906129,12.4,
5,20,0.228,0.279184,0.816667,
5,21,7.774,0.751111,10.35,
5,22,31.688,1.30672,24.25,
5,23,5.269,0.580073,9.08333,
5,24,11.267,0.954831,11.8,
5,25,16.968,0.875391,19.3833,
5,26,2.731,0.455167,6,
5,27,7.606,0.774805,9.81667,
5,28,4.961,0.618836,8.01667,
5,29,6.533,0.60678,10.7667,
5,30,33.788,0.996206,33.9167,
5,31,4.55,0.541667,8.4,
5,32,3.676,0.561221,6.55,
5,33,3.587,0.528796,6.78333,
5,34,11.888,1.0018,11.8667,
5,35,6.243,0.524622,11.9,
5,36,5.721,0.651347,8.78333,
5,37,10.422,1.00051,10.4167,
5,38,3.357,0.538556,6.23333,
5,39,11.622,0.934745,12.4333,
5,40,7.857,0.61144,12.85,
5,41,11.826,0.954993,12.3833,
5,42,2.154,0.451888,4.76667,
5,43,4.698,0.562635,8.35,
5,44,9.69,0.835345,11.6,
